blk_no,street,max_floor_lvl,year_completed,towns,address,postalcode,latitude,longitude,distance_km,nearest_mrt
168,WOODLANDS ST 11,10,1984,WOODLANDS,168 WOODLANDS ST 11,730168,1.43295934850925,103.776737651554,0.3,MARSILING MRT STATION
168A,PUNGGOL EAST,18,2007,PUNGGOL,168A PUNGGOL EAST,821168,1.39458916861034,103.914238786983,0.2,CORAL EDGE LRT STATION
168A,QUEENSWAY,20,1973,QUEENSTOWN,168A QUEENSWAY,140168,1.28928555929927,103.803401515145,0.6,QUEENSTOWN MRT STATION
168A,SIMEI LANE,12,2011,TOA PAYOH,168A SIMEI LANE,521168,1.34273869646672,103.958976326972,0.3,UPPER CHANGI MRT STATION
168B,PUNGGOL EAST,18,2007,PUNGGOL,168B PUNGGOL EAST,822168,1.39449602941946,103.913979040224,0.2,CORAL EDGE LRT STATION
168B,SIMEI LANE,12,2011,TOA PAYOH,168B SIMEI LANE,522168,1.34261198398468,103.958768059936,0.3,UPPER CHANGI MRT STATION
168C,PUNGGOL FIELD,18,2012,PUNGGOL,168C PUNGGOL FIELD,823168,1.39390315065765,103.913776841169,0.1,CORAL EDGE LRT STATION
168C,SIMEI LANE,12,2011,TOA PAYOH,168C SIMEI LANE,523168,1.34247709890668,103.958539053563,0.3,UPPER CHANGI MRT STATION
168D,PUNGGOL FIELD,18,2012,PUNGGOL,168D PUNGGOL FIELD,824168,1.39374676309818,103.914001608784,0.1,CORAL EDGE LRT STATION
168D,SIMEI LANE,12,2011,TOA PAYOH,168D SIMEI LANE,524168,1.34285868951136,103.958258733447,0.4,UPPER CHANGI MRT STATION
169,BEDOK STH AVE 3,13,1984,BEDOK,169 BEDOK STH AVE 3,460169,1.32038884581716,103.945093904498,0.7,TANAH MERAH MRT STATION
169,BISHAN ST 13,4,1986,BISHAN,169 BISHAN ST 13,570169,1.34685267491893,103.854099130793,0.6,BISHAN MRT STATION
169,BT BATOK WEST AVE 8,12,1984,BUKIT BATOK,169 BT BATOK WEST AVE 8,650169,1.34660733553492,103.740909286964,1.0,CHINESE GARDEN MRT STATION
169,HOUGANG AVE 1,14,1996,HOUGANG,169 HOUGANG AVE 1,530169,1.35160490053332,103.889848995071,1.1,KOVAN MRT STATION
169,LOR 1 TOA PAYOH,12,1972,TAMPINES,169 LOR 1 TOA PAYOH,310169,1.33172599846081,103.842799470193,0.5,TOA PAYOH MRT STATION
169,STIRLING RD,16,1970,QUEENSTOWN,169 STIRLING RD,140169,1.29043486528791,103.803105948762,0.5,QUEENSTOWN MRT STATION
169,WOODLANDS ST 11,12,1984,WOODLANDS,169 WOODLANDS ST 11,730169,1.43332338026154,103.776486303321,0.2,MARSILING MRT STATION
169A,PUNGGOL FIELD,18,2012,PUNGGOL,169A PUNGGOL FIELD,821169,1.3930827465106,103.914282199575,0.2,CORAL EDGE LRT STATION
169B,PUNGGOL FIELD,18,2012,PUNGGOL,169B PUNGGOL FIELD,822169,1.39322466506004,103.914067696947,0.2,CORAL EDGE LRT STATION
169C,PUNGGOL FIELD,18,2012,PUNGGOL,169C PUNGGOL FIELD,823169,1.3936210916849,103.91422364645,0.2,CORAL EDGE LRT STATION
17,BEACH RD,20,1974,KALLANG/WHAMPOA,17 BEACH RD,190017,1.30368952030975,103.863575539303,0.4,LAVENDER MRT STATION
17,CANTONMENT CL,30,2000,BUKIT MERAH,17 CANTONMENT CL,080017,1.27383556871582,103.839844255368,0.7,TANJONG PAGAR MRT STATION
17,DOVER CRES,30,2002,QUEENSTOWN,17 DOVER CRES,130017,1.30765453773173,103.782891219198,0.7,DOVER MRT STATION
17,EUNOS CRES,12,1976,GEYLANG,17 EUNOS CRES,400017,1.32337014878712,103.904403708711,0.4,EUNOS MRT STATION
17,GHIM MOH RD,14,1976,QUEENSTOWN,17 GHIM MOH RD,270017,1.30989225871342,103.787432226528,0.6,BUONA VISTA MRT STATION
17,HOUGANG AVE 3,12,1977,HOUGANG,17 HOUGANG AVE 3,530017,1.36343443196468,103.890977580317,0.8,KOVAN MRT STATION
17,JLN TENTERAM,22,1999,KALLANG/WHAMPOA,17 JLN TENTERAM,321017,1.32821169071169,103.859812573047,1.1,POTONG PASIR MRT STATION
17,JOO SENG RD,13,1983,TAMPINES,17 JOO SENG RD,360017,1.33616230952626,103.881375973843,0.7,TAI SENG MRT STATION
